Estado,Codigo_Estado_IBGE,Casos_de_Covid-por_100_mil_hab,Mortes_de_Covid-por_100_mil_hab,Total_de_Vacinas-por_100_mil_hab,Vacinas_1ªdose-por_100_mil_hab,Vacinas_2ªdose-por_100_mil_hab,Dose_unica-por_100_mil_hab,Imunizados-por_100_mil_hab,IDH-x1000,Renda_Domiciliar-Reais
TO,11,14721,246,127254,68358,51504,1988,53492,699,1060
AM,12,10298,328,114225,61351,46670,1223,47893,673,852
ES,13,15469,327,152957,76190,61728,2623,64351,740,1347
MA,14,5203,145,112163,60765,45558,1531,47089,639,676
SC,15,17102,277,153982,77608,65627,3334,68961,773,1632
GO,16,13290,346,136979,71724,56431,2017,58448,734,1258
RO,17,15800,374,131053,68457,54166,1846,56012,689,1169
PA,21,7179,196,107941,59569,42800,1492,44292,645,883
RJ,22,7779,399,145981,73847,59639,2071,61710,761,1723
PB,23,11477,237,151656,79765,62263,1245,63508,658,892
PE,24,6698,212,133374,72034,54884,1226,56110,672,897
AC,25,9880,206,117001,64672,48201,1421,49622,663,917
AP,26,14702,233,98680,57973,36438,1340,37778,708,893
MS,27,13520,346,149948,73463,62165,6284,68449,729,1488
AL,28,7220,190,129808,70007,52636,1721,54357,630,796
SP,29,9614,335,164424,79234,74113,2514,76627,783,1814
PI,31,10188,221,147855,77756,62393,1603,63996,645,859
PR,32,13852,354,154573,77801,65550,2824,68374,749,1508
SE,33,12009,261,128537,69541,51880,1609,53489,665,1028
RS,35,13153,318,159874,77918,67399,2600,69999,746,1759
RR,41,20404,328,105766,59575,41064,1715,42779,707,983
MT,42,15786,398,135858,72122,56042,2631,58673,725,1401
DF,43,16991,363,142412,73460,59692,2273,61965,824,2475
CE,50,10391,269,133237,72750,54519,675,55194,682,1028
MG,51,10421,265,148986,76398,61981,2324,64305,730,1314
BA,52,8500,183,132078,71503,52835,1781,54616,660,965
RN,53,10923,214,146446,74685,61402,1663,63065,684,1077
